version,url,status,description,page_title,last_modified,source_url
v1.32,https://kubernetes.io/docs/home/supported-doc-versions/,latest,Current documentation,Available Documentation Versions | Kubernetes,"April 12, 2024 at 10:34 AM PST: Update button label to 'See available versions' in docs homepage (#45571) (84cb81aca1)",https://kubernetes.io/docs/home/supported-doc-versions/
v1.31,https://v1-31.docs.kubernetes.io/docs/home/supported-doc-versions/,older,Archived documentation,Available Documentation Versions | Kubernetes,"April 12, 2024 at 10:34 AM PST: Update button label to 'See available versions' in docs homepage (#45571) (84cb81aca1)",https://kubernetes.io/docs/home/supported-doc-versions/
v1.30,https://v1-30.docs.kubernetes.io/docs/home/supported-doc-versions/,older,Archived documentation,Available Documentation Versions | Kubernetes,"April 12, 2024 at 10:34 AM PST: Update button label to 'See available versions' in docs homepage (#45571) (84cb81aca1)",https://kubernetes.io/docs/home/supported-doc-versions/
v1.29,https://v1-29.docs.kubernetes.io/docs/home/supported-doc-versions/,older,Archived documentation,Available Documentation Versions | Kubernetes,"April 12, 2024 at 10:34 AM PST: Update button label to 'See available versions' in docs homepage (#45571) (84cb81aca1)",https://kubernetes.io/docs/home/supported-doc-versions/
v1.28,https://v1-28.docs.kubernetes.io/docs/home/supported-doc-versions/,older,Archived documentation,Available Documentation Versions | Kubernetes,"April 12, 2024 at 10:34 AM PST: Update button label to 'See available versions' in docs homepage (#45571) (84cb81aca1)",https://kubernetes.io/docs/home/supported-doc-versions/
